customer_id,date,item,sales,cost,region,payment,stars
986,01/01/2023,Silla de oficina,730.67,28.3,Querétaro,TDC,3
445,01/01/2023,Sobres,623.64,191.37,Guanajuato,TDC,5
290,01/01/2023,Tijeras,891.61,219.63,Baja California,TDC,4
944,01/01/2023,Papel Bond,948.95,112.45,Aguascalientes,TDC,2
584,01/01/2023,Notas adhesivas,704.77,19.47,Tlaxcala,TDC,2
357,01/01/2023,Corrector,995.54,240.83,Hidalgo,TDD,2
183,01/01/2023,Clips,621.68,149.65,Ciudad de México,TDD,5
940,01/01/2023,Silla de oficina,865.1,185.43,Aguascalientes,TDD,4
596,01/01/2023,Guillotina para papel,829.77,120.37,Querétaro,TDD,4
962,02/01/2023,Limpia pantallas,631.1,91.33,Querétaro,TDC,5
772,02/01/2023,Grapas,258.36,266.17,Coahuila,TDC,5
455,02/01/2023,Mouse pad,421.88,199.46,Querétaro,TDC,3
100,02/01/2023,Almohadilla para sellos,673.78,78.68,Hidalgo,TDC,5
409,02/01/2023,Carpeta de archivos,614.05,136.59,Querétaro,TDC,4
519,02/01/2023,Engrapadora,678.73,203.57,Morelos,TDC,2
135,02/01/2023,Cinta métrica,297.24,244.83,Querétaro,TDC,2
984,02/01/2023,Lápices,269.86,253.53,Querétaro,TDD,3
639,02/01/2023,Lámpara de escritorio,620.95,48.48,Aguascalientes,TDD,3
590,03/01/2023,Cinta adhesiva,930.47,293.13,Estado de México,TDD,2
67,03/01/2023,Webcam,490.24,88.27,Nuevo León,TDD,3
4,03/01/2023,Pegamento,847.5,200.03,Baja California,TDD,5
817,03/01/2023,Papelera,424.75,214.75,Tlaxcala,TDC,3
674,03/01/2023,Engrapadora,234.04,245.13,Coahuila,TDC,2
24,03/01/2023,Organizador de escritorio,999.82,123.92,Hidalgo,TDC,3
548,03/01/2023,Engrapadora,770.5,12.66,Estado de México,TDC,2
19,03/01/2023,Tijeras,431.51,160.78,Tlaxcala,TDC,3
525,03/01/2023,Almohadilla para sellos,579.53,150.41,Durango,TDC,2
668,04/01/2023,Mouse,810.14,102.87,Estado de México,TDC,4
433,04/01/2023,Sobres,400.97,261.88,Tlaxcala,TDC,5
215,04/01/2023,Engrapadora,698.18,113.2,Querétaro,TDC,5
425,04/01/2023,Regleta de enchufes,379.23,270.18,Querétaro,TDC,4
444,04/01/2023,Marcadores,659.61,178.77,Hidalgo,TDC,5
333,04/01/2023,Silla de oficina,707.12,39.37,Aguascalientes,TDC,5
442,04/01/2023,Tóner de impresora,829.23,293.72,Querétaro,TDC,2
9,04/01/2023,Bolígrafos,205.93,110.45,Hidalgo,TDD,4
810,04/01/2023,Lámpara de escritorio,414.5,155.5,Querétaro,TDD,5
6,05/01/2023,Mouse,860.08,29.9,Nuevo León,Efectivo,5
808,05/01/2023,Tóner de impresora,882.11,95.03,Querétaro,Efectivo,5
981,05/01/2023,Mouse,548.35,68.43,Ciudad de México,TDC,4
982,05/01/2023,Desinfectante de manos,537.06,112.02,Tlaxcala,TDC,3
735,05/01/2023,Agenda,637.79,73.5,Nayarit,TDC,4
768,05/01/2023,Lámpara de escritorio,728.72,194.29,Morelos,TDD,3
289,05/01/2023,Corrector,371.15,176.03,Durango,TDD,5
759,05/01/2023,Engrapadora,867.37,100.22,Morelos,TDD,4
688,05/01/2023,Grapas,920.91,11.81,Nuevo León,TDD,5
800,06/01/2023,Mouse pad,550.57,69.22,Jalisco,TDD,5
345,06/01/2023,Agenda,415.64,62.27,Durango,TDD,3
813,06/01/2023,Notas adhesivas,798.73,135.18,Baja California,TDD,3
776,06/01/2023,Tijeras,365.78,248.81,Jalisco,TDD,5
415,06/01/2023,Bolígrafos,413.78,208.72,Durango,TDD,5
237,06/01/2023,Cuaderno,943.71,42.21,Tlaxcala,TDD,5
721,06/01/2023,Teclado,702.13,120.02,Querétaro,TDD,5
778,06/01/2023,Silla de oficina,822.78,173.04,Hidalgo,TDD,5
772,06/01/2023,Perforadora,466.5,164.05,Nuevo León,TDD,5
904,07/01/2023,Papelera,452.72,223.52,Estado de México,TDD,5
700,07/01/2023,Notas adhesivas,334.78,259.28,Durango,TDD,3
353,07/01/2023,Bolígrafos,551.4,175.81,Jalisco,TDD,5
853,07/01/2023,Marcadores,254.63,291.16,Nayarit,TDD,3
973,07/01/2023,Notas adhesivas,778.72,5.84,Nuevo León,TDD,3
719,07/01/2023,Papelera,697.21,295.9,Ciudad de México,TDD,4
490,07/01/2023,Agenda,730.65,164.75,Morelos,TDD,5
571,07/01/2023,Notas adhesivas,288.64,171.23,Colima,TDD,5
157,07/01/2023,Regleta de enchufes,714.66,225.37,Nuevo León,TDD,2
677,08/01/2023,Tóner de impresora,357.32,32.47,Aguascalientes,TDD,5
149,08/01/2023,Organizador de escritorio,354.17,66.33,Tlaxcala,TDD,5
153,08/01/2023,Lámpara de escritorio,659.27,273.55,Jalisco,TDD,4
705,08/01/2023,Clips,326.11,226.59,Tlaxcala,TDD,5
403,08/01/2023,Corrector,596.54,171.72,Querétaro,TDD,4
339,08/01/2023,Cinta métrica,931.15,32.29,Coahuila,TDD,4
498,08/01/2023,Engrapadora,997.64,198.65,Hidalgo,TDD,5
497,08/01/2023,Sobres,918.39,109.72,Puebla,TDD,5
499,08/01/2023,Sobres,645.62,138.53,Puebla,TDD,5
389,09/01/2023,Clips,839.64,34.34,Coahuila,TDD,4
283,09/01/2023,Desinfectante de manos,219.79,74.58,Jalisco,TDD,4
906,09/01/2023,Papelera,261.91,123.45,Baja California,TDD,4
275,09/01/2023,Webcam,817.31,97.66,Querétaro,TDD,3
167,09/01/2023,Diccionario,658.35,251.39,Tlaxcala,TDD,5
694,09/01/2023,Pegamento,210.33,137.25,Guanajuato,TDD,3
952,09/01/2023,Grapas,452.26,26.05,Tlaxcala,TDD,4
772,09/01/2023,Tóner de impresora,479.14,231.95,Guanajuato,TDD,2
307,09/01/2023,Pegamento,393.48,230.01,Colima,TDD,4
839,10/01/2023,Cuaderno,383.98,40.38,Jalisco,TDD,2
84,10/01/2023,Tijeras,409.15,168.47,Tlaxcala,TDD,2
17,10/01/2023,Agenda,903.6,41.82,Querétaro,TDD,5
494,10/01/2023,Webcam,359.99,255.08,Puebla,TDD,4
823,10/01/2023,Cinta métrica,501.04,46.8,Puebla,TDD,2
80,10/01/2023,Limpia pantallas,840.86,278.51,Nayarit,TDD,5
642,10/01/2023,Silla de oficina,584.95,187.81,Coahuila,TDD,2
49,10/01/2023,Corrector,922.47,208.29,Querétaro,TDD,2
666,10/01/2023,Organizador de escritorio,435.11,87.72,Querétaro,TDD,5
513,11/01/2023,Lámpara de escritorio,304.2,171.02,Querétaro,TDD,4
113,11/01/2023,Sobres,901.27,73.03,Colima,TDD,4
840,11/01/2023,Silla de oficina,829.3,130.51,Coahuila,TDD,4
199,11/01/2023,Engrapadora,609.27,239.06,Querétaro,TDD,4
67,11/01/2023,Organizador de escritorio,764.55,278.12,Baja California,TDD,3
909,11/01/2023,Organizador de escritorio,360.11,131.71,Nayarit,TDD,2
782,11/01/2023,Organizador de escritorio,285.99,294.79,Querétaro,TDD,2
778,11/01/2023,Papel Bond,233.39,203.99,Durango,TDD,5
860,11/01/2023,Calendario de escritorio,942.68,55.15,Guanajuato,TDD,3
585,12/01/2023,Mouse pad,212.49,235.13,Nayarit,TDD,4
875,12/01/2023,Papelera,995.94,242.56,Durango,TDD,3
383,12/01/2023,Webcam,587.14,281.9,Baja California,TDD,4
61,12/01/2023,Mouse,977.21,160.81,Nuevo León,TDD,4
667,12/01/2023,Teclado,986.6,193.71,Guanajuato,TDD,4
663,12/01/2023,Marcadores,609.46,257.87,Nuevo León,TDD,5
734,12/01/2023,Corrector,783.2,212.59,Nuevo León,TDD,3
752,12/01/2023,Bolígrafos,803.79,212.44,Ciudad de México,TDD,5
987,12/01/2023,Sobres,923.91,118.95,Aguascalientes,TDD,5
689,13/01/2023,Silla de oficina,426.45,244.15,Durango,TDD,5
387,13/01/2023,Teclado,343.65,63.72,Durango,TDD,5
133,13/01/2023,Cuaderno,536.77,65.31,Hidalgo,TDD,3
991,13/01/2023,Tijeras,515.33,123.85,Nayarit,TDD,5
944,13/01/2023,Tóner de impresora,953.55,146.18,Baja California,TDD,3
150,13/01/2023,Desinfectante de manos,793.94,179.96,Ciudad de México,TDD,3
825,13/01/2023,Carpeta de archivos,990.29,80.02,Nayarit,TDC,4
819,13/01/2023,Tijeras,602.49,60.29,Nayarit,TDC,5
212,13/01/2023,Mouse,973.2,122.31,Durango,TDC,5
625,14/01/2023,Diccionario,570.76,87.23,Tlaxcala,Efectivo,5
800,14/01/2023,Lápices,477.4,43.68,Aguascalientes,TDC,5
726,14/01/2023,Grapas,962.26,200.27,Querétaro,TDC,3
173,14/01/2023,Engrapadora,824.4,214.47,Coahuila,TDC,5
460,14/01/2023,Corrector,258.73,256.7,Querétaro,TDC,3
603,14/01/2023,Notas adhesivas,871.75,146.54,Colima,TDC,5
116,14/01/2023,Grapas,632.92,110.12,Jalisco,TDC,4
238,14/01/2023,Limpia pantallas,434.65,99.39,Guanajuato,TDD,4
19,14/01/2023,Extensión eléctrica,579.57,101.07,Puebla,TDD,2
188,15/01/2023,Tijeras,567.41,270.55,Estado de México,Efectivo,5
705,15/01/2023,Silla de oficina,462.1,45.51,Hidalgo,Efectivo,3
421,15/01/2023,Guillotina para papel,845.78,66.44,Querétaro,Efectivo,3
978,15/01/2023,Desinfectante de manos,727.95,140.08,Puebla,Efectivo,5
293,15/01/2023,Diccionario,940.18,222.87,Nayarit,Efectivo,4
983,15/01/2023,Diccionario,894.32,218.83,Puebla,TDC,5
572,15/01/2023,Perforadora,317.5,7.71,Jalisco,TDC,5
203,15/01/2023,Mouse,371.77,202.14,Durango,TDC,2
139,15/01/2023,Webcam,534.55,279.92,Estado de México,TDD,3
159,16/01/2023,Cinta adhesiva,544.74,125.52,Colima,TDC,5
181,16/01/2023,Regleta de enchufes,655.43,279.24,Tlaxcala,TDC,3
665,16/01/2023,Organizador de escritorio,448,186.27,Guanajuato,TDC,4
977,16/01/2023,Regleta de enchufes,577.59,83.69,Aguascalientes,TDC,5
758,16/01/2023,Diccionario,377.87,28.1,Colima,TDC,4
489,16/01/2023,Lápices,366.06,240.26,Hidalgo,TDC,5
752,16/01/2023,Perforadora,538.14,151,Hidalgo,TDD,4
387,16/01/2023,Tijeras,795.82,73.26,Aguascalientes,TDD,3
10,16/01/2023,Marcadores,461.34,171.7,Jalisco,TDD,2
890,17/01/2023,Lápices,765.88,280.84,Estado de México,Efectivo,5
308,17/01/2023,Notas adhesivas,663,252.4,Morelos,Efectivo,5
249,17/01/2023,Cinta métrica,620.52,227.39,Querétaro,Efectivo,3
851,17/01/2023,Sobres,778.58,172.14,Coahuila,Efectivo,5
625,17/01/2023,Engrapadora,690,225.07,Colima,Efectivo,3
536,17/01/2023,Sellos,893.05,175.78,Estado de México,TDC,5
259,17/01/2023,Perforadora,526.15,173.31,Puebla,TDC,3
630,17/01/2023,Guillotina para papel,316.26,79.93,Guanajuato,TDD,3
84,17/01/2023,Papelera,597.45,18.9,Baja California,TDD,2
923,18/01/2023,Cinta métrica,600.71,18.68,Durango,Efectivo,5
821,18/01/2023,Papelera,979.24,76.47,Nuevo León,Efectivo,3
526,18/01/2023,Guillotina para papel,611.03,242.56,Colima,TDC,4
859,18/01/2023,Silla de oficina,902.66,123.1,Ciudad de México,TDC,3
866,18/01/2023,Sellos,427.73,252.74,Hidalgo,TDC,4
645,18/01/2023,Tóner de impresora,927.48,226.38,Baja California,TDC,4
18,18/01/2023,Almohadilla para sellos,212.82,65.58,Colima,TDC,5
897,18/01/2023,Almohadilla para sellos,658.72,107.5,Colima,TDC,3
232,18/01/2023,Guillotina para papel,686.33,91.02,Nayarit,TDD,5
364,19/01/2023,Pegamento,298.53,7.28,Durango,Efectivo,5
940,19/01/2023,Engrapadora,685.33,105.85,Coahuila,Efectivo,4
453,19/01/2023,Clips,848.88,48.76,Colima,Efectivo,5
722,19/01/2023,Bolígrafos,246.2,74.43,Hidalgo,TDC,2
899,19/01/2023,Grapas,269.13,206.65,Querétaro,TDC,3
266,19/01/2023,Escritorio,594.72,23.24,Nuevo León,TDC,2
940,19/01/2023,Clips,877.45,81.5,Nayarit,TDD,5
840,19/01/2023,Lámpara de escritorio,718.73,197.09,Hidalgo,TDD,2
167,19/01/2023,Extensión eléctrica,641.23,171.87,Jalisco,TDD,2
939,20/01/2023,Cuaderno,375.74,23.35,Jalisco,Efectivo,5
870,20/01/2023,Tijeras,929.26,45.73,Aguascalientes,Efectivo,5
806,20/01/2023,Agenda,779.85,196.19,Aguascalientes,Efectivo,5
939,20/01/2023,Lámpara de escritorio,575.45,269.9,Coahuila,Efectivo,5
906,20/01/2023,Sellos,265.09,215.51,Estado de México,TDC,4
597,20/01/2023,Diccionario,572.68,95.47,Nuevo León,TDC,5
869,20/01/2023,Mouse,243.32,105.72,Querétaro,TDD,2
55,20/01/2023,Silla de oficina,924.07,187.65,Estado de México,TDD,4
865,20/01/2023,Regleta de enchufes,679.94,183.5,Nayarit,TDD,5
308,21/01/2023,Lápices,433.91,89.09,Querétaro,Efectivo,3
382,21/01/2023,Tóner de impresora,406.73,52.05,Querétaro,TDC,4
330,21/01/2023,Escritorio,330.46,26.25,Morelos,TDC,3
785,21/01/2023,Almohadilla para sellos,638.65,280.15,Ciudad de México,TDC,4
121,21/01/2023,Carpeta de archivos,338.39,219.69,Querétaro,TDC,4
417,21/01/2023,Clips,551.59,72.25,Morelos,TDC,4
226,21/01/2023,Regleta de enchufes,751.15,291.29,Nayarit,TDC,5
482,21/01/2023,Grapas,209.5,152.33,Querétaro,TDD,2
876,21/01/2023,Corrector,318.43,143.71,Ciudad de México,TDD,2
703,22/01/2023,Lámpara de escritorio,933.64,273.1,Aguascalientes,Efectivo,5
768,22/01/2023,Silla de oficina,307.79,292.56,Jalisco,TDC,2
406,22/01/2023,Lámpara de escritorio,707.5,258.96,Colima,TDC,3
401,22/01/2023,Tijeras,689.02,40.91,Hidalgo,TDC,3
790,22/01/2023,Perforadora,859.11,257.62,Aguascalientes,TDC,5
142,22/01/2023,Organizador de escritorio,844.97,152.39,Coahuila,TDC,3
522,22/01/2023,Sellos,288.92,98.86,Durango,TDD,5
836,22/01/2023,Lámpara de escritorio,517.17,262.1,Tlaxcala,TDD,5
